cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
9.38,627.2916540384293,0:00:07,0.0,0.04296875,0,846.021484375,857.2734375,841.15625,2883.34765625,89.35880847015135,binary_r,7.0199,1,hg38,genomicranges,10,10_000,nearest,ok
10.04,682.2065155506134,0:00:07,0.0,0.04296875,0,869.6845703125,880.859375,865.31640625,2906.0859375,93.20186826426573,binary_r,7.3197,1,hg38,genomicranges,10,100_000,nearest,ok
16.409999999999997,1325.8748301744463,0:00:13,0.0,0.04296875,0,1234.470703125,1245.48828125,1230.1328125,3271.72265625,97.2745123843863,binary_r,13.6302,1,hg38,genomicranges,10,1_000_000,nearest,ok
78.65,7555.9275192976,0:01:28,0.0,0.04296875,0,2601.04296875,2611.953125,2596.546875,4654.6640625,85.70685845050112,binary_r,88.1601,1,hg38,genomicranges,10,10_000_000,nearest,ok
9.01,579.001696920395,0:00:06,0.0,0.04296875,0,801.357421875,812.6875,796.80859375,2838.8359375,87.47688169233002,binary_r,6.6189,1,hg38,genomicranges,100,10_000,nearest,ok
9.98,682.1181288957596,0:00:07,0.0,0.04296875,0,869.015625,880.56640625,864.8828125,2906.34375,91.93734082544316,binary_r,7.4194,1,hg38,genomicranges,100,100_000,nearest,ok
16.31,1319.1668233156204,0:00:13,0.0,0.04296875,0,1234.6904296875,1245.6953125,1230.2265625,3271.3203125,94.69528801753268,binary_r,13.9306,1,hg38,genomicranges,100,1_000_000,nearest,ok
48.64,4547.647319722175,0:01:13,0.0,0.04296875,0,2700.2978515625,2711.35546875,2695.94921875,4740.2265625,61.59293079913112,binary_r,73.8339,1,hg38,genomicranges,100,10_000_000,nearest,ok
8.96,578.1597011566163,0:00:06,0.0,0.04296875,0,789.01171875,800.55859375,784.46875,2826.74609375,87.33811899754217,binary_r,6.6198,1,hg38,genomicranges,1000,10_000,nearest,ok
9.37,626.8475170850753,0:00:07,0.0,0.04296875,0,835.2333984375,846.14453125,830.859375,2872.90234375,86.824216630427,binary_r,7.2197,1,hg38,genomicranges,1000,100_000,nearest,ok
15.79,1263.194923901558,0:00:13,0.0,0.04296875,0,1151.4521484375,1162.41796875,1147.0625,3189.09375,96.21163724360603,binary_r,13.1293,1,hg38,genomicranges,1000,1_000_000,nearest,ok
78.72,7550.037630391122,0:01:24,0.0,0.04296875,0,2774.185546875,2785.1796875,2769.60546875,4900.12890625,89.61652531636211,binary_r,84.2483,1,hg38,genomicranges,1000,10_000_000,nearest,ok
8.89,576.0021050453187,0:00:06,0.0,0.04296875,0,809.3349609375,821.03125,804.765625,2847.23828125,87.02186284930902,binary_r,6.6191,1,proteome,genomicranges,10,10_000,nearest,ok
9.92,683.0130760669708,0:00:07,0.0,0.04296875,0,865.4208984375,876.4609375,861.08203125,2901.0625,90.8309443570814,binary_r,7.5196,1,proteome,genomicranges,10,100_000,nearest,ok
17.43,1427.029462814331,0:00:14,0.0,0.04296875,0,1173.9833984375,1185.3046875,1169.71875,3210.6171875,98.19596615306104,binary_r,14.5325,1,proteome,genomicranges,10,1_000_000,nearest,ok
78.81,7568.010935354233,0:01:22,0.0,0.04296875,0,2251.9658203125,2261.71484375,2247.765625,4287.3828125,91.23240307694526,binary_r,82.9531,1,proteome,genomicranges,10,10_000_000,nearest,ok
8.91,579.2396695613861,0:00:06,0.0,0.04296875,0,791.11328125,802.61328125,786.484375,2828.03125,86.20214710296544,binary_r,6.7196,1,proteome,genomicranges,100,10_000,nearest,ok
10.56,738.6748157262803,0:00:08,4.9453125,0.04296875,0,863.662109375,874.89453125,859.3046875,2899.90625,89.84912409314997,binary_r,8.2213,1,proteome,genomicranges,100,100_000,nearest,ok
17.54,1428.948261189461,0:00:14,0.0,0.046875,0,1158.2900390625,1169.6171875,1154.03125,3194.9609375,98.32118470050504,binary_r,14.5335,1,proteome,genomicranges,100,1_000_000,nearest,ok
229.71,22660.261851358417,0:04:09,0.00390625,0.04296875,0,10001.0244140625,10012.328125,9996.9375,12706.53515625,90.73305218581848,binary_r,249.7465,1,proteome,genomicranges,100,10_000_000,nearest,ok
8.85,575.9753357410431,0:00:06,0.06640625,0.04296875,0,800.9990234375,812.48828125,796.40625,2838.99609375,87.01461220812357,binary_r,6.6193,1,proteome,genomicranges,1000,10_000,nearest,ok
10.53,736.9737435102463,0:00:08,0.0,0.04296875,0,863.7978515625,875.0703125,859.4140625,2899.82421875,90.74586775981214,binary_r,8.1213,1,proteome,genomicranges,1000,100_000,nearest,ok
18.41,1531.8838921785357,0:00:21,0.0,0.04296875,0,1509.9580078125,1520.83984375,1505.4765625,3546.2265625,71.43859025949067,binary_r,21.4434,1,proteome,genomicranges,1000,1_000_000,nearest,ok
109.58,10644.03744506836,0:02:01,46.640625,0.04296875,0,95962.0146484375,97131.55078125,95958.2421875,100440.34765625,87.72247601635969,binary_r,121.3376,1,proteome,genomicranges,1000,10_000_000,nearest,fail
9.0,575.6983931779862,0:00:06,0.0,0.04296875,0,812.1083984375,823.76171875,807.5546875,2849.53515625,89.68781062753357,binary_r,6.4189,1,hg38,genomicranges,10,10_000,intersection,ok
9.46,628.0668541193008,0:00:06,0.0,0.04296875,0,835.802734375,846.84765625,831.40625,2873.24609375,90.7551484611177,binary_r,6.9205,1,hg38,genomicranges,10,100_000,intersection,ok
