Library,Operation,Type
ailist,intersection,binary
genomicranges,nearest,binary
genomicranges,intersection,binary
genomicranges,subtract,binary
genomicranges,merge,unary
genomicranges,cluster,unary
bedtools,nearest,binary
bedtools,intersection,binary
bedtools,subtract,binary
bedtools,merge,unary
bedtools,cluster,unary
bedops,intersection,binary
bedops,merge,unary
bedtk,intersection,binary
bedtk,merge,unary
bioframe,nearest,binary
bioframe,intersection,binary
bioframe,subtract,binary
bioframe,merge,unary
bioframe,cluster,unary
polars_bio,nearest,binary
polars_bio,intersection,binary
polars_bio,subtract,binary
polars_bio,merge,unary
polars_bio,cluster,unary
pyranges,nearest,binary
pyranges,intersection,binary
pyranges,subtract,binary
pyranges,merge,unary
pyranges,cluster,unary
